Timestamp,motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionYaw(rad),motionRoll(rad),motionPitch(rad),PredictedClass,UserConfirmation
0.0,0.19925390929719664,0.31513410644603024,-0.31746781869401847,-0.04172090165930856,0.1047735894369515,-0.024720321651694528,-0.006948583602117937,0.03223231956730411,0.9662960052070334,-0.0003174678186940185,0.00019925390929719663,0.0003151341064460303,Brushing Teeth,Washing Face
0.02,0.11168695553671593,0.34565851185399277,-0.2685371762456971,-0.08958742513101153,0.08737055393778616,0.07108792987890673,-0.012986194747389717,0.031206168696418915,0.9748862487341642,-0.0005860049949397156,0.0003109408648339126,0.000660792618300023,Brushing Teeth,Washing Face
0.04,0.27280113504006487,0.23176396287552029,-0.2612362280476094,-0.09121234037057338,0.05254360616713586,0.05135558886925476,-0.00699605130210991,0.03267814129753925,0.9843270699155989,-0.000847241222987325,0.0005837419998739775,0.0008925565811755432,Brushing Teeth,Washing Face
0.06,0.30439907177746284,0.32194113833148036,-0.19682058619364035,-0.06658776551601156,0.10661345239189193,0.06588552772525533,-0.0130903949560917,0.030144626854305932,0.9758478963220532,-0.0010440618091809653,0.0008881410716514403,0.0012144977195070238,Brushing Teeth,Washing Face
0.08,0.30745953623187955,0.16593418329950538,-0.05393420313205071,-0.013041986634345514,0.10544339955095461,0.04347611662238825,-0.008539119721103597,0.032027078107578655,0.9728603612365261,-0.001097996012313016,0.0011956006078833199,0.001380431902806529,Brushing Teeth,Washing Face
0.1,0.21780891752154366,0.15286317332300947,-0.10595154605272086,-0.06145654199897441,0.10492531817039881,0.0574727997574357,-0.010356311901649345,0.037277140487459504,0.9804369432936558,-0.0012039475583657368,0.0014134095254048637,0.0015332950761295387,Brushing Teeth,Washing Face
0.12,0.5046372469063902,0.22610123655150377,-0.045577631828304835,0.060311612048537154,0.02095469135078749,0.043334954527004754,-0.0007923541204140905,0.021823110877532408,0.980865967045185,-0.0012495251901940418,0.0019180467723112539,0.0017593963126810424,Brushing Teeth,Washing Face
0.14,0.45223765488658835,0.2205942934797591,0.03135172580245506,0.07793413215795203,0.13752192916086164,0.07513173946299456,-0.010302984697747883,0.02555822520350525,0.966873912535779,-0.0012181734643915865,0.0023702844271978425,0.0019799906061608017,Brushing Teeth,Washing Face
0.16,0.2715389764927899,-0.0033267085059593693,0.21821270075485047,0.0736772369711003,0.08553278028400157,0.10448857997048018,-0.00909142663849624,0.03401393672924111,0.977957669014657,-0.0009999607636367361,0.0026418234036906323,0.0019766638976548424,Brushing Teeth,Washing Face
0.18,0.5600312134642313,0.05155932123997688,0.14387346500783338,0.16089793817883027,0.04079974552787691,0.0607834296045703,-0.0026255884559351203,0.03881315617293091,0.9869954384554909,-0.0008560872986289027,0.0032018546171548633,0.002028223218894819,Brushing Teeth,Washing Face
0.2,0.4811589844944354,0.06579502651346034,0.3106265195727695,0.09790059531746517,0.08126685821797339,0.13383061999112705,-0.007551895092202472,0.031768822416596086,0.9701024628205699,-0.0005454607790561332,0.0036830136016492987,0.002094018245408279,Brushing Teeth,Washing Face
0.22,0.4115163883984668,0.2807742401898735,0.2512427548734165,0.14933507387601433,0.0681872502220514,0.032194283578100724,-0.011460171782279961,0.02458262889899941,0.9734827389919712,-0.0002942180241827167,0.0040945299900477655,0.0023747924855981525,Brushing Teeth,Washing Face
0.24,0.5849880509609401,-0.14551976861212196,0.26379628608338673,0.07446287667591035,0.058332434940681493,0.054685621596000905,-0.003302786641000431,0.03728567460811963,0.9775743706204839,-3.0421738099329966e-05,0.004679518041008706,0.0022292727169860305,Brushing Teeth,Washing Face
0.26,0.30277428941707857,-0.025330808490450475,0.36259504942626103,0.06891054353046408,0.16496913497946072,0.04617220261144741,-0.00932469191131927,0.03983126799717817,0.981681128635628,0.0003321733113269311,0.004982292330425784,0.00220394190849558,Brushing Teeth,Washing Face
0.28,0.4384937043291157,-0.03047968966125396,0.2823109292538125,0.10645408433981794,-0.019919824747861525,0.026444655359208133,-0.017789540493526778,0.029153564279585004,0.9776648108168897,0.0006144842405807436,0.0054207860347549,0.0021734622188343262,Brushing Teeth,Washing Face
0.3,0.1884897932315762,-0.09129619424706367,0.4332364639922841,0.06891951852226563,0.08823075016407356,0.0221260038607669,-0.0044478527040957335,0.0318736046950271,0.9719845871328723,0.0010477207045730276,0.005609275827986475,0.0020821660245872622,Brushing Teeth,Washing Face
0.32,0.19470739039197837,-0.2842929606130366,0.2822458690062708,0.09555749865014834,-0.07699611365288268,0.01956990950141933,-0.013132414459115279,0.0399592902147327,0.9676627679393738,0.0013299665735792986,0.005803983218378454,0.0017978730639742258,Brushing Teeth,Washing Face
0.34,0.4743002986567245,-0.15867933121981206,0.1551883112540961,0.02002942179036496,-0.0006258668380100443,0.005599101008149162,-0.0014532246304292794,0.032264285100798144,0.9910837190206631,0.0014851548848333947,0.0062782835170351785,0.0016391937327544137,Brushing Teeth,Washing Face
0.36,0.16666653408022292,-0.010979567731553425,0.07012398207703609,0.04531012002227815,-0.002142022272910836,0.029960379276379026,-0.011028129534862945,0.04366247458380497,0.9862288704700424,0.0015552788669104308,0.0064449500511154015,0.0016282141650228604,Brushing Teeth,Washing Face
0.38,0.19018285381322456,-0.04652954147839963,0.04288924242640765,0.04434226763178155,0.035411737372461435,-0.049833954296869376,-0.008636396180762233,0.030256131997350277,0.9746162336285518,0.0015981681093368385,0.006635132904928626,0.0015816846235444607,Brushing Teeth,Washing Face
0.4,0.11111483000487923,-0.12862636011589318,0.04916426728289751,0.02622725819675542,0.027269292856126958,-0.051418525667649415,-0.001677231504049294,0.03337263207310377,0.9792301898523086,0.0016473323766197359,0.006746247734933506,0.0014530582634285673,Brushing Teeth,Washing Face
0.42,0.09002237906147957,-0.1472734748362995,-0.08775128750944658,0.020692554157375212,-0.09133814410897481,0.019434897897937405,-0.018513695064103892,0.03023895683199541,0.9795451300334779,0.0015595810891102894,0.0068362701139949855,0.001305784788592268,Brushing Teeth,Washing Face
0.44,0.00839426511813244,-0.26709063141637607,-0.2800526978800749,-0.037730435117026194,-0.04655530288621582,-0.06455591924086128,-0.007654063158508457,0.029885621784316356,0.9699153637593693,0.0012795283912302145,0.006844664379113118,0.0010386941571758918,Brushing Teeth,Washing Face
